text,label
The Ministry of Health confirmed on Tuesday that vaccination rates have risen by 12 percent according to official data.,REAL
"Reuters reported that the central bank raised interest rates by a quarter point, citing inflation concerns.",REAL
"According to a study published in the journal Nature, researchers found a measurable decline in Arctic sea ice.",REAL
City officials announced a new public transit line will open next spring after the council approved funding.,REAL
"The company's quarterly earnings report showed a 4 percent increase in revenue, in line with analyst expectations.",REAL
Officials said the investigation into the bridge collapse is ongoing and a preliminary report is expected next month.,REAL
The university's admissions office confirmed applications rose this year following a change to the application process.,REAL
A spokesperson for the department stated that road repairs will begin on Monday and continue through the summer.,REAL
The World Health Organization released updated guidelines based on data collected from clinical trials.,REAL
"Local election officials reported voter turnout increased compared with the previous cycle, per certified results.",REAL
The national weather service issued an advisory citing data from satellite monitoring of the storm system.,REAL
Court documents show the case was filed after a review by the state attorney general's office.,REAL
The census bureau published figures indicating population growth slowed slightly over the past decade.,REAL
"Company executives confirmed the merger during a press conference, pending regulatory approval.",REAL
The agriculture department reported crop yields were consistent with the five-year average this season.,REAL
You won't believe what doctors don't want you to know about this miracle cure that big pharma is hiding!,FAKE
"SHOCKING: Secret government files EXPOSED reveal the truth they don't want you to see, anonymous sources say.",FAKE
"Scientists BANNED from revealing this one weird trick that instantly cures everything, click here now!",FAKE
Anonymous insiders claim the entire election was rigged in a secret conspiracy nobody is talking about.,FAKE
This celebrity was secretly replaced by a clone and nobody in the mainstream media will report it!!!,FAKE
"The government is hiding aliens in a secret base and refuses to let anyone investigate, sources claim.",FAKE
"Doctors HATE this simple trick that melts fat overnight, banned in several countries for being too effective.",FAKE
"BREAKING: Secret cabal caught on tape admitting to controlling the world's food supply, share before it's deleted!",FAKE
You won't believe this shocking secret about your water supply that they don't want you to know.,FAKE
Exclusive: anonymous whistleblower reveals the miracle vaccine cover-up nobody dares to talk about.,FAKE
"This one weird trick banned by big tech will change your life forever, they don't want you to see it!",FAKE
"Secret society exposed for controlling world governments, mainstream media refuses to cover the story.",FAKE
Shocking conspiracy uncovered: officials secretly banned this cure because it threatens their profits.,FAKE
"Anonymous sources say the moon landing was completely fabricated in a secret studio, exposed at last.",FAKE
Click here to see the miracle remedy doctors are desperately trying to keep hidden from the public!,FAKE
